label,main,HBCU,DISTANCEONLY,NUMBRANCH,ADM_RATE,ADM_RATE_ALL,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTPELL,loan_ever,pell_ever,age_entry,agege24,female,married,dependent,veteran,first_gen,faminc,md_faminc,pct_white,pct_black,pct_asian,pct_hispanic,pct_ba,pct_grad_prof,pct_born_us,median_hh_inc,poverty_rate,unemp_rate,ADM_RATE:missing,ADM_RATE_ALL:missing,SATVRMID:missing,SATWRMID:missing,ACTCMMID:missing,ACTENMID:missing,COSTT4_A:missing,TUITIONFEE_IN:missing,AVGFACSAL:missing,PFTFAC:missing,PCTPELL:missing,loan_ever:missing,pell_ever:missing,age_entry:missing,agege24:missing,female:missing,married:missing,dependent:missing,veteran:missing,first_gen:missing,pct_ba:missing,STABBR_AL,STABBR_AR,STABBR_AZ,STABBR_CA,STABBR_CO,STABBR_CT,STABBR_DC,STABBR_DE,STABBR_FL,STABBR_GA,STABBR_GU,STABBR_HI,STABBR_IA,STABBR_ID,STABBR_IL,STABBR_IN,STABBR_KS,STABBR_KY,STABBR_LA,STABBR_MA,STABBR_MD,STABBR_ME,STABBR_MI,STABBR_MN,STABBR_MO,STABBR_MS,STABBR_MT,STABBR_NC,STABBR_ND,STABBR_NE,STABBR_NH,STABBR_NJ,STABBR_NM,STABBR_NV,STABBR_NY,STABBR_OH,STABBR_OK,STABBR_OR,STABBR_PA,STABBR_PR,STABBR_RI,STABBR_SC,STABBR_SD,STABBR_TN,STABBR_TX,STABBR_UT,STABBR_VA,STABBR_VT,STABBR_WA,STABBR_WI,STABBR_WV,STABBR_WY,AccredAgency_Accrediting Commission of Career Schools and Colleges,AccredAgency_Accrediting Council for Continuing Education & Training,AccredAgency_Association for Biblical Higher Education,AccredAgency_Association of Advanced Rabbinical and Talmudic Schools,AccredAgency_Association of Institutions of Jewish Studies,AccredAgency_Distance Education Accrediting Commission,AccredAgency_Higher Learning Commission,AccredAgency_Middle States Commission on Higher Education,AccredAgency_Missing,AccredAgency_New England Commission on Higher Education,AccredAgency_Northwest Commission on Colleges and Universities,AccredAgency_Southern Association of Colleges and Schools Commission on Colleges,AccredAgency_Transnational Association of Christian Colleges and Schools,AccredAgency_Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,AccredAgency_Western Association of Schools and Colleges Senior Colleges and University Commission,sch_deg_Bachelor's or higher,sch_deg_Certificate,sch_deg_Missing,HIGHDEG_Bachelor's degree,HIGHDEG_Graduate degree,CONTROL_2,CONTROL_3,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,LOCALE_11.0,LOCALE_12.0,LOCALE_13.0,LOCALE_21.0,LOCALE_22.0,LOCALE_23.0,LOCALE_31.0,LOCALE_32.0,LOCALE_33.0,LOCALE_41.0,LOCALE_42.0,LOCALE_43.0,CCSIZSET_1.0,CCSIZSET_10.0,CCSIZSET_11.0,CCSIZSET_12.0,CCSIZSET_13.0,CCSIZSET_14.0,CCSIZSET_15.0,CCSIZSET_16.0,CCSIZSET_17.0,CCSIZSET_2.0,CCSIZSET_3.0,CCSIZSET_4.0,CCSIZSET_5.0,CCSIZSET_6.0,CCSIZSET_7.0,CCSIZSET_8.0,CCSIZSET_9.0
1,1,0.0,0.0,1,0.9814,0.98135383527748,530.0,510.0,514.5,20.0,19.0,20.0,0.0,0.0052,0.0,0.0084,0.0252,0.0,0.0073,0.0,0.0262,0.0136,0.0,0.001,0.0,0.0,0.0084,0.0168,0.0,0.0713,0.0,0.0,0.0776,0.0283,0.0021,0.0021,0.0063,0.0,0.0818,0.0294,0.0,0.0273,0.0,0.0,0.0,0.0,0.1027,0.2421,0.2128,0.0042,4440.0,0.1516,0.0736,0.6574,0.0257,0.0027,0.0027,0.0239,0.0311,0.0313,0.1002,48681.0,37090.0,37090.0,21137.0,11151.0,9001.0,0.4582,0.446,0.8194594595,0.6684684685,26.018378378,0.43000000715255,0.6407207207,0.2172972973,0.5318918919,0.0068468468,0.4326269492,50920.114955,36409.0,72.4499969482422,6.78999996185302,1.90999996662139,46.7299995422363,15.8000001907348,8.69999980926513,87.1600036621093,59715.43,11.2799997329711,3.45000004768371,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,0.0,0.0,1,0.6244,0.62436676798378,555.0,535.0,514.5,22.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0611,0.0,0.0024,0.0,0.0709,0.0,0.0,0.0,0.0,0.0,0.0196,0.0,0.0,0.0733,0.0098,0.0,0.0,0.1222,0.0489,0.0147,0.0073,0.0,0.1711,0.0049,0.0,0.0367,0.0,0.0,0.0,0.0,0.0196,0.11,0.1956,0.0318,1933.0,0.3052,0.0523,0.4718,0.0388,0.0031,0.0052,0.0222,0.0031,0.0983,0.1061,52665.0,41700.0,41700.0,19204.0,8587.0,9494.0,1.0,0.4378,0.8961538462,0.5961538462,21.842307692,0.20000000298023,0.6605769231,0.0663461538,0.7932692308,0.0060803084,0.3588362069,60122.844231,42880.0,69.8099975585937,3.99000000953674,8.3100004196167,25.4599990844726,18.1900005340576,9.32999992370605,78.8199996948242,75891.29,7.82999992370605,3.61999988555908,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1,0.0,0.0,1,0.7339,0.73394808743169,535.0,505.0,450.0,22.0,21.0,22.0,0.0,0.0,0.0,0.002,0.0196,0.0,0.0314,0.0,0.0432,0.0,0.0,0.0059,0.0,0.0,0.0059,0.1218,0.0,0.0334,0.0,0.0,0.0118,0.0,0.0,0.0,0.0196,0.0,0.0884,0.0295,0.0373,0.0079,0.0,0.0,0.0,0.0,0.0314,0.3576,0.1434,0.0098,2661.0,0.4216,0.1977,0.2961,0.0289,0.0011,0.0004,0.0447,0.0038,0.0056,0.2394,13989.0,8424.0,22811.0,6255.0,9136.0,7562.0,0.4838,0.4255,0.7313681869,0.6390433815,23.533370412,0.43000000715255,0.7057842047,0.0723025584,0.70189099,0.0111234705,0.4537660747,50993.0901,36436.0,71.2600021362304,22.9200000762939,0.75,8.30000019073486,10.5,5.82000017166137,95.1600036621093,61713.1,8.52999973297119,4.30999994277954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,0.0,0.0,3,0.7542,0.755392646091225,589.0,577.5,514.5,25.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,351.0,0.433,0.0741,0.2308,0.0513,0.0085,0.037,0.0057,0.0,0.1595,0.0,33765.0,16548.0,16548.0,14526.0,6481.0,7172.0,0.6098,0.308,0.8996763754,0.8171521036,29.553398058,0.60000002384185,0.7718446602,0.3527508091,0.1909385113,0.0060803084,0.5258126195,30222.907767,22815.0,85.5100021362304,1.40999996662139,2.32999992370605,12.619999885559,15.4799995422363,6.40999984741211,89.4800033569336,64280.58,6.92000007629394,3.67000007629394,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,1,0.0,0.0,1,0.5269,0.52689313517339,640.0,640.0,555.0,30.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7956,0.0,0.0,481.0,0.499,0.1081,0.0624,0.2079,0.0042,0.0,0.052,0.0353,0.0312,0.0166,54899.0,41475.0,41475.0,24986.0,28471.0,10066.0,0.6121,0.2888,0.8947368421,0.3197278912,20.755102041,0.14000000059604,0.6031746032,0.0874392783,0.8820861678,0.0060803084,0.2169811321,92607.088435,79148.0,87.7900009155273,5.09000015258789,3.13000011444091,4.98000001907348,14.5100002288818,10.079999923706,90.0400009155273,60872.01,7.65000009536743,3.48000001907348,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1,0.0,0.0,1,0.7542,0.755392646091225,589.0,577.5,514.5,25.0,24.0,23.0,0.024,0.056,0.0,0.0,0.0,0.0,0.04,0.0,0.088,0.024,0.0,0.0,0.0,0.024,0.0,0.072,0.0,0.008,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.128,0.048,0.0,0.0,0.056,0.072,0.096,0.0,0.0,0.24,0.0,569.0,0.0264,0.0105,0.0035,0.0,0.9561,0.0018,0.0,0.0018,0.0,0.0598,14309.0,4632.0,4632.0,11955.0,8559.0,5115.0,0.7652,0.7823,0.0735694823,0.5853658537,25.678474114,0.56999999284744,0.5885558583,0.0844686649,0.3596730245,0.0060803084,0.3468013468,15490.239782,9746.0,49.6800003051757,0.4699999988079,0.36000001430511,2.34999990463256,12.5299997329711,4.67999982833862,97.9599990844726,41276.26,22.9200000762939,7.84000015258789,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1,0.0,0.0,1,0.6795,0.67951892465511,589.0,577.5,555.0,25.0,24.0,23.0,0.0,0.0633,0.0,0.0063,0.0253,0.0,0.0,0.0,0.0063,0.0,0.0,0.057,0.0,0.0,0.1392,0.0,0.0,0.1329,0.0253,0.0,0.0,0.0,0.0127,0.0,0.0253,0.0,0.1139,0.0,0.0,0.1076,0.0,0.0,0.0,0.0,0.1835,0.0443,0.0063,0.0506,665.0,0.6015,0.1564,0.1173,0.018,0.0135,0.003,0.0286,0.0571,0.0045,0.006,58698.0,43560.0,43560.0,10622.0,19506.0,7276.0,0.6165,0.3944,0.9522613065,0.5728643216,20.286432161,0.15000000596046,0.595194085,0.0874392783,0.8768844221,0.0060803084,0.2582417582,69075.582915,48958.0,81.1299972534179,12.5900001525878,2.55999994277954,4.65000009536743,17.5200004577636,10.6400003433227,92.3099975585937,65801.0,6.65999984741211,2.75999999046325,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0.0,1.0,17,0.6669,0.87329402910185,589.0,577.5,514.5,25.0,24.0,23.0,0.0,0.0081,0.0086,0.0027,0.0721,0.0015,0.0334,0.0,0.0141,0.0342,0.0037,0.0056,0.0202,0.0042,0.0334,0.0339,0.0,0.0969,0.0003,0.0,0.0375,0.0046,0.0076,0.0,0.0085,0.0108,0.1116,0.0289,0.0097,0.0798,0.0,0.0,0.0,0.0,0.0419,0.1064,0.1651,0.0149,53782.0,0.4929,0.0813,0.2448,0.0493,0.0093,0.0036,0.0494,0.002,0.0674,0.6011,36420.0,19171.0,28355.0,6325.0,4325.0,11088.0,0.6253,0.398,0.7940918076,0.6274983527,24.7478311,0.25,0.5568306611,0.1507797057,0.5695695146,0.0065341533,0.3813179205,56365.776329,35851.5,78.7600021362304,3.49000000953674,2.90000009536743,19.2000007629394,18.2299995422363,9.53999996185302,86.9599990844726,69074.33,7.71000003814697,3.15000009536743,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,1,0.0,0.0,1,0.4305,0.43054015523522,635.0,605.0,514.5,28.0,29.0,26.0,0.0,0.0287,0.0,0.0,0.0828,0.0,0.0287,0.0,0.0478,0.0,0.0,0.0096,0.0,0.0,0.0255,0.0,0.0,0.0924,0.0223,0.0,0.0032,0.0892,0.0032,0.0,0.0287,0.0,0.1146,0.0,0.0,0.1242,0.0,0.0,0.0,0.0,0.0541,0.0,0.2357,0.0096,1440.0,0.5132,0.0569,0.2958,0.0326,0.0028,0.0007,0.0444,0.0222,0.0313,0.0118,67493.0,53813.0,53813.0,19203.0,17431.0,8920.0,0.7742,0.2533,0.9243027888,0.484063745,20.139442231,0.00999999977648,0.5737051793,0.0239043825,0.9342629482,0.0060803084,0.2033542977,98483.840637,74646.0,79.6500015258789,6.92999982833862,3.36999988555908,20.6399993896484,22.2900009155273,11.6499996185302,88.5599975585937,75446.44,7.13999986648559,2.91000008583068,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1,0.0,0.0,1,0.7542,0.755392646091225,589.0,577.5,514.5,25.0,24.0,23.0,0.0764,0.0007,0.0,0.0,0.0022,0.0,0.0291,0.0706,0.0284,0.0022,0.0044,0.0,0.0066,0.0124,0.0,0.2504,0.0,0.0087,0.0,0.0,0.0,0.0182,0.0,0.0,0.0015,0.0,0.024,0.0706,0.0,0.0007,0.0,0.0,0.0546,0.0,0.0095,0.2431,0.0859,0.0,3781.0,0.4409,0.2084,0.2822,0.0098,0.004,0.0037,0.0357,0.0132,0.0021,0.4552,18757.0,3008.0,6578.0,2929.0,4037.0,6861.0,0.2483,0.3049,0.6087990488,0.842568371,23.875862069,0.31999999284744,0.5719381688,0.114863258,0.6413793103,0.0042806183,0.4848741872,34200.48918,24997.0,70.6600036621093,17.5699996948242,0.93999999761581,17.079999923706,10.9300003051757,4.92999982833862,91.1500015258789,55505.8,10.9399995803833,3.84999990463256,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
