BAD,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,REASON_HomeImp,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self
0,6500,63144.000000,76754.000000,2.000000,0.000000,2.000000,129.077712,0.000000,23.000000,29.055433,True,False,False,False,False,False
0,14500,78503.000000,90558.000000,19.000000,0.000000,0.000000,250.452289,10.000000,24.000000,36.876235,False,False,False,False,False,False
0,30500,113822.000000,148478.000000,10.000000,0.000000,0.000000,165.788278,0.000000,16.000000,31.163207,False,False,False,True,False,False
0,24300,65019.000000,144123.000000,7.000000,0.000000,0.000000,173.466667,1.000000,20.000000,15.529230,False,False,True,False,False,False
0,26800,96895.000000,144482.000000,23.000000,0.000000,0.000000,201.967875,0.000000,13.000000,40.162161,False,False,False,False,False,False
0,15500,25751.000000,43531.000000,0.000000,0.000000,0.000000,213.359282,0.000000,16.000000,37.794992,False,True,False,False,False,False
0,8400,82972.000000,121796.000000,7.000000,0.000000,0.000000,173.466667,1.000000,20.000000,41.445624,True,False,True,False,False,False
0,21000,94063.000000,139868.000000,7.000000,0.000000,0.000000,207.210036,0.000000,21.000000,30.247823,False,False,False,True,False,False
0,20000,59936.000000,12737.000000,5.000000,0.000000,0.000000,63.395400,0.000000,17.000000,40.446579,False,False,True,False,False,False
0,25200,63258.000000,100392.000000,0.000000,0.000000,0.000000,194.701316,0.000000,25.000000,35.274461,False,False,False,True,False,False
0,12300,50441.000000,56656.000000,1.000000,0.000000,0.000000,186.451017,0.000000,21.000000,35.452607,False,True,False,False,False,False
1,9000,90969.000000,108606.000000,5.000000,5.000000,2.000000,113.257509,5.000000,28.000000,27.347597,True,False,False,False,False,False
0,52200,65019.000000,81115.000000,10.000000,0.000000,0.000000,173.214284,1.000000,21.000000,24.981883,True,False,False,False,False,True
0,14900,72637.000000,103297.000000,4.000000,2.000000,0.000000,83.466086,0.000000,20.000000,22.553040,False,False,True,False,False,False
0,26400,153853.000000,188760.000000,2.000000,0.000000,0.000000,172.570833,0.000000,17.000000,43.358194,True,False,False,False,False,True
0,7700,14776.000000,32287.000000,7.000000,0.000000,0.000000,173.466667,1.000000,20.000000,34.880462,False,False,True,False,False,False
0,5500,52897.000000,65054.000000,20.000000,0.000000,0.000000,189.295318,0.000000,19.000000,20.654129,True,True,False,False,False,False
0,5500,93051.000000,115374.000000,6.000000,0.000000,0.000000,187.020519,1.000000,27.000000,27.646749,True,False,False,True,False,False
0,22400,65502.000000,104373.000000,14.000000,0.000000,0.000000,141.812823,0.000000,13.000000,36.221943,True,True,False,False,False,False
0,10100,58446.000000,71145.000000,4.000000,0.000000,1.000000,244.624368,1.000000,15.000000,38.117306,True,False,True,False,False,False
0,21700,58363.000000,78411.000000,5.000000,0.000000,0.000000,104.174770,0.000000,16.000000,38.188435,False,False,True,False,False,False
0,13800,21711.000000,32357.000000,7.000000,0.000000,0.000000,105.666234,0.000000,17.000000,20.333156,False,True,False,False,False,False
1,4500,57000.000000,89235.500000,5.000000,0.000000,0.000000,222.600000,1.000000,13.000000,34.818262,True,False,True,False,False,False
0,18400,40673.000000,60418.000000,27.000000,0.000000,0.000000,247.649579,0.000000,13.000000,24.980299,True,False,True,False,False,False
1,22400,25585.000000,54049.000000,20.000000,0.000000,0.000000,251.358003,0.000000,19.000000,25.202706,False,False,False,True,False,False
0,21000,69097.000000,105200.000000,7.000000,1.000000,0.000000,237.820129,1.000000,13.000000,40.305774,False,False,True,False,False,False
1,26900,69000.000000,106500.000000,0.600000,0.000000,1.000000,115.700000,2.000000,19.000000,34.818262,False,False,False,False,True,False
0,26800,145772.000000,193135.000000,12.000000,0.000000,0.000000,147.938795,0.000000,36.000000,40.904321,False,False,False,True,False,False
0,8400,65019.000000,39106.000000,7.000000,0.000000,1.000000,80.075339,0.000000,10.000000,35.683502,True,False,True,False,False,False
0,28200,90485.000000,123674.000000,1.000000,0.000000,1.000000,189.734742,2.000000,25.000000,41.676986,False,False,True,False,False,False
0,17400,62824.000000,82243.000000,5.000000,0.000000,0.000000,109.482749,0.000000,7.000000,34.818445,False,False,True,False,False,False
0,15300,81500.000000,102000.000000,3.500000,0.000000,0.000000,123.766667,1.000000,25.000000,34.818262,True,False,False,True,False,False
0,31000,13542.000000,58827.000000,0.000000,0.000000,0.000000,92.132908,0.000000,6.000000,36.256969,False,False,True,False,False,False
0,31800,195134.000000,299299.000000,29.000000,0.000000,0.000000,161.885126,0.000000,22.000000,38.637024,False,False,True,False,False,False
0,5100,179725.000000,251962.000000,7.000000,0.000000,0.000000,127.498813,0.000000,22.000000,40.308259,False,False,False,False,True,False
